condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
salient,go,1gov.png,,,0,12,12,5,,,,,,,,,,,,,,,89.80958425800782,None,88.82367150997743,89.82620131294243,space,89.80958425800782,88.82367150997743,0.5898126329993829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,go,1gov1.png,,,0,13,13,6,,,,,,,,,,,,,,,91.41389861493371,None,90.44458086998202,91.44717354991008,space,91.41389861493371,None,0.48815087496768683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,nogo,1nogo2.png,,,0,14,14,12,,,,,,,,,,,,,,,92.91794702794868,94.92316324496642,91.94889138999861,92.95118261291645,None,92.91794702794868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,nogo,1nogov3.png,,,0,15,15,18,,,,,,,,,,,,,,,96.92855309799779,98.93411756795831,95.9424380849814,96.94507761800196,None,96.92855309799779,95.9424380849814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,go,1gov4.png,,,0,16,16,9,,,,,,,,,,,,,,,100.93932579795364,None,99.9530220729066,100.95587683294434,space,100.93932579795364,99.9530220729066,0.5195904000429437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,go,1gov2.png,,,0,17,17,7,,,,,,,,,,,,,,,102.4768076329492,None,101.50763624499086,102.51010044990107,space,102.4768076329492,None,0.4536006449488923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,go,1gov3.png,,,0,18,18,8,,,,,,,,,,,,,,,103.9475994729437,None,102.9780112899607,103.98072353797033,space,103.9475994729437,None,0.7097048900322989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,go,1go2.png,,,0,19,19,2,,,,,,,,,,,,,,,105.68516016495414,None,104.69940749299712,105.70204578794073,space,105.68516016495414,None,0.6220672749914229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.33677060995251,None,space,34.0862006599782,106.33677060995251,None,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,nogo,2nogov1.png,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,140.47801694297232,141.4807939629536,141.4641306779813,143.469339387957,None,141.4641306779813,None,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
