condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nonsalient,go,1go.png,,,0,16,16,0,,,,,,,,,,,,,,,86.49497092701495,None,85.52588834206108,86.52864422707353,space,0.4266663249582052,86.49497092701495,85.52588834206108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,nogo,1nogov2.png,,,0,17,17,17,,,,,,,,,,,,,,,87.94891342008486,89.95430790202226,86.9630984570831,87.96571457001846,None,,87.94891342008486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,nogo,1nogov3.png,,,0,18,18,18,,,,,,,,,,,,,,,91.95962577010505,93.9651741751004,90.97382044210099,91.9764913120307,None,,91.95962577010505,90.97382044210099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,go,1gov.png,,,0,19,19,5,,,,,,,,,,,,,,,95.95329312002286,None,94.98435413499828,95.9866314700339,space,0.4016636519227177,95.95329312002286,94.98435413499828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3879618550418,None,space,7.468417885014787,96.3879618550418,None,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,nogo,2nogo2.png,,,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,103.90821118000895,104.91098996507935,104.87745489506051,None,space,0.3965006999205798,104.87745489506051,None,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,nogo,2nogo4.png,,,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,105.31213052209932,106.31471663003322,106.29805422702339,108.30329284502659,None,,106.29805422702339,None,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,go,2go4.png,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,109.32254014001228,110.32527348503936,110.30854791007005,None,space,0.4927827570354566,110.30854791007005,109.32254014001228,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,nogo,2nogov.png,,,,,,,0,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,110.84352849202696,111.84601007506717,111.82940005499404,113.83479825709946,None,,111.82940005499404,None,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,go,2go2.png,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,114.85420522710774,115.85703779710457,115.84022147010546,None,space,0.6906425600172952,115.84022147010546,114.85420522710774,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,nogo,2nogo.png,,,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,116.57553842000198,117.57805955701042,117.54476000007708,119.5501992770005,None,,117.54476000007708,None,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,go,2go3.png,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,120.56941543705761,121.57227430504281,121.55558459204622,None,space,0.5316021220060065,121.55558459204622,120.56941543705761,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,go,2gov3.png,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,122.12362714204937,123.12620549008716,123.1097050870303,None,space,0.7068113919813186,123.1097050870303,None,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,nogo,2nogo3.png,,,,,,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,123.86078009009361,124.86302869208157,124.84614835004322,126.85266473703086,None,,124.84614835004322,None,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,go,2gov2.png,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,127.87242753000464,128.8750224520918,128.85810365504585,None,space,0.44696817302610725,128.85810365504585,127.87242753000464,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,go,2go1.png,,,,,,,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,129.3428047070047,130.34518532501534,130.32889872509986,None,space,0.5015585969667882,130.32889872509986,None,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,nogo,2nogov2.png,,,,,,,0,11,11,17,,,,,,,,,,,,,,,,,,,,,,,,,130.8802681650268,131.88305071205832,131.86628039507195,133.87029174203053,None,,131.86628039507195,None,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
