condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nonsalient,,1nogo4.png,st,circle,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.62607593496796,241.6285997199593,241.59524047200102,243.60190284694545,243.60190284694545,None,right,0.2724066929658875,243.60190284694545,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,nonstcv3.png,nonst,circle,,,,,,,,,0,6,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.91816854698118,244.92087555502076,244.88740906701423,246.89261049998458,246.89261049998458,None,left,0.341522483038716,246.89261049998458,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,1nogo1.png,st,circle,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.2770205650013,248.2797244619578,248.26297984202392,250.26855500496458,250.26855500496458,None,left,0.26323658297769725,250.26855500496458,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,nonstrv2.png,nonst,rectangle,,,,,,,,,0,8,8,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.5691177699482,251.5720629999414,251.55510864197277,253.56041107699275,253.54389848199207,None,right,0.27886747696902603,253.54389848199207,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,nonstc4.png,nonst,circle,,,,,,,,,0,9,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.8612757199444,254.863996900036,254.84726132499054,256.85259300202597,256.85259300202597,None,left,0.7033869629958645,256.85259300202597,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,nonstr4.png,nonst,rectangle,,,,,,,,,0,10,10,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.6035470670322,258.6067891450366,258.59002292493824,260.59472648997325,260.59472648997325,None,left,0.28506680799182504,260.59472648997325,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,1go1.png,st,rectangle,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.9288845289266,261.9328764650272,261.9159730520332,263.921389631927,263.921389631927,None,right,0.2954022749327123,263.921389631927,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,1nogov3.png,st,circle,,,,,,,,,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.25559129496105,265.2583881369792,265.2415074199671,267.24694943998475,267.2301393050002,None,left,0.3344271349487826,267.2301393050002,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,1nogo.png,st,circle,,,,,,,,,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.6148381999228,268.61732212500647,268.5839155019494,270.5893601300195,270.5893601300195,None,right,0.27303015999495983,270.5893601300195,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,nonstr1.png,nonst,rectangle,,,,,,,,,0,14,14,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.90700047498103,271.90945255500264,271.8760469999397,273.8814718070207,273.8814718070207,None,left,0.26172504003625363,273.8814718070207,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,nonstr.png,nonst,rectangle,,,,,,,,,0,15,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.18221129500307,275.1849223820027,275.1683583749691,277.173520655022,277.15671648003627,None,right,0.27197294996585697,277.15671648003627,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,1gov4.png,st,rectangle,,,,,,,,,0,16,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.4740994499298,278.47683161497116,278.4436893169768,280.4489540850045,280.4489540850045,None,right,0.2736710400786251,280.4489540850045,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,1gov1.png,st,rectangle,,,,,,,,,0,17,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.7665920369327,281.7692193519324,281.73570759699214,283.74098216497805,283.74098216497805,None,right,0.2463729151058942,283.74098216497805,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,nonstc3.png,nonst,circle,,,,,,,,,0,18,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.02542847499717,285.0279235999333,285.0110275519546,287.01639117195737,287.01639117195737,None,right,0.27387371996883303,287.01639117195737,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,1nogov4.png,st,circle,,,,,,,,,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.3339728770079,288.3367091800319,288.3031770220259,290.30860314995516,290.30860314995516,None,right,0.27849284501280636,290.30860314995516,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,nonstr2.png,nonst,rectangle,,,,,,,,,0,20,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.62626891501714,291.62886675202753,291.61211252002977,293.6175268100342,293.600852255011,None,left,0.2652527630561963,293.600852255011,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,nonstcv.png,nonst,circle,,,,,,,,,0,21,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.9016777619254,294.90419062494766,294.88762431696523,296.8930174499983,296.8930174499983,None,right,0.24868482700549066,296.8930174499983,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,nonstrv.png,nonst,rectangle,,,,,,,,,0,22,22,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.17702777998056,298.17969652696047,298.1629361999221,300.1682241719682,300.1682241719682,None,left,0.2637377770151943,300.1682241719682,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,1gov.png,st,rectangle,,,,,,,,,0,23,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.46905602992047,301.4717651619576,301.4550723870052,303.46051646000706,303.4437546499539,None,left,0.27203353494405746,303.4437546499539,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,nonstc.png,nonst,circle,,,,,,,,,0,24,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.76122864498757,304.7639220949495,304.7305233819643,306.735897431965,306.735897431965,None,right,0.43549204198643565,306.735897431965,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,nonstc1.png,nonst,circle,,,,,,,,,0,25,25,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.22043521201704,308.22330587997567,308.1893396299565,310.1948975499254,310.1948975499254,None,left,0.2479170620208606,310.1948975499254,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,nonstrv1.png,nonst,rectangle,,,,,,,,,0,26,26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.4792040620232,311.481795669999,311.4650912799407,313.4703613099409,313.4703613099409,None,left,0.24500738992355764,313.4703613099409,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,1gov2.png,st,rectangle,,,,,,,,,0,27,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.75456445501186,314.75719390495215,314.74060981196817,316.74601639201865,316.72921500203665,None,right,0.35895224497653544,316.72921500203665,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,1go2.png,st,rectangle,,,,,,,,,0,28,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.130507785012,318.1330376249971,318.1161356619559,320.12168104492594,320.12168104492594,None,right,0.2885569999925792,320.12168104492594,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,1go3.png,st,rectangle,,,,,,,,,0,29,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.4559012920363,321.45855775498785,321.44201042992063,323.4470739850076,323.4304539449513,None,right,0.23686060996260494,323.4304539449513,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
